,subject,prediction,groundtruth
0,5,0,0
1,5,0,0
2,5,6,6
3,5,6,6
4,5,3,3
5,5,4,4
6,5,4,4
7,5,4,4
8,5,4,4
9,5,4,4
10,5,4,4
11,5,7,4
12,5,7,7
13,5,7,7
14,5,5,5
15,5,5,5
16,5,5,5
17,5,3,3
18,5,4,4
19,5,4,4
20,5,4,4
21,5,4,4
22,5,7,4
23,5,7,7
24,5,7,7
25,5,5,5
26,5,5,5
27,5,3,3
28,5,3,3
29,5,4,4
30,5,4,4
31,5,4,4
32,5,7,7
33,5,7,7
34,5,7,7
35,5,7,7
36,5,5,7
37,5,5,5
38,5,5,5
39,5,5,5
40,5,3,3
41,5,4,4
42,5,4,4
43,5,4,4
44,5,4,4
45,5,7,7
46,5,7,7
47,5,7,7
48,5,2,2
49,5,2,2
50,5,2,2
51,5,2,2
52,5,2,2
53,5,7,2
54,5,2,2
55,5,2,2
56,5,0,0
57,5,6,6
58,5,3,3
59,5,3,4
60,5,4,4
61,5,4,4
62,5,4,4
63,5,4,4
64,5,4,4
65,5,7,7
66,5,7,7
67,5,7,7
68,5,5,5
69,5,5,5
70,5,5,5
71,5,3,3
72,5,4,4
73,5,4,4
74,5,4,4
75,5,7,7
76,5,7,7
77,5,5,0
78,5,5,5
79,5,3,3
80,5,4,4
81,5,4,4
82,5,4,4
83,5,7,7
84,5,7,7
85,5,5,5
86,5,5,5
87,5,3,3
88,5,4,4
89,5,4,4
90,5,4,4
91,5,4,4
92,5,7,7
93,5,7,7
94,5,2,2
95,5,2,2
96,5,2,2
97,5,2,2
98,5,2,2
99,5,2,2
100,5,2,2
101,5,0,0
102,5,6,0
103,5,3,3
104,5,3,4
105,5,4,4
106,5,4,4
107,5,7,7
108,5,5,7
109,5,5,5
110,5,5,5
111,5,3,3
112,5,4,4
113,5,4,4
114,5,4,4
115,5,7,7
116,5,5,7
117,5,5,8
118,5,5,8
119,5,5,8
120,5,3,3
121,5,4,4
122,5,4,4
123,5,4,4
124,5,7,7
125,5,5,7
126,5,5,5
127,5,5,5
128,5,3,3
129,5,4,4
130,5,4,4
131,5,4,4
132,5,7,7
133,5,2,7
134,5,2,2
135,5,2,2
136,5,2,2
137,5,2,2
138,5,0,2
139,5,2,2
140,5,6,0
141,5,3,3
142,5,4,4
143,5,4,4
144,5,4,4
145,5,4,4
146,5,4,4
147,5,7,7
148,5,7,7
149,5,5,7
150,5,5,5
151,5,3,3
152,5,4,4
153,5,4,4
154,5,4,4
155,5,4,4
156,5,7,7
157,5,5,7
158,5,5,5
159,5,5,5
160,5,5,5
161,5,3,3
162,5,4,4
163,5,4,4
164,5,4,4
165,5,7,7
166,5,9,7
167,5,7,9
168,5,7,7
169,5,5,7
170,5,5,5
171,5,5,5
172,5,3,3
173,5,4,4
174,5,4,4
175,5,4,4
176,5,7,7
177,5,7,7
178,5,7,2
179,5,2,2
180,5,2,2
181,5,2,2
182,5,2,2
183,5,2,2
184,5,6,6
185,5,3,3
186,5,4,4
187,5,4,4
188,5,4,4
189,5,7,7
190,5,7,7
191,5,5,5
192,5,5,5
193,5,5,5
194,5,3,3
195,5,4,4
196,5,4,4
197,5,4,4
198,5,7,7
199,5,7,7
200,5,5,5
201,5,5,5
202,5,3,3
203,5,4,4
204,5,4,4
205,5,4,4
206,5,7,7
207,5,7,7
208,5,5,5
209,5,3,3
210,5,4,4
211,5,4,4
212,5,4,4
213,5,7,7
214,5,7,7
215,5,2,2
216,5,2,2
217,5,2,2
218,5,2,2
219,5,7,2
220,5,2,2
221,5,2,2
