,subject,prediction,groundtruth
0,6,6,0
1,6,8,6
2,6,8,8
3,6,3,3
4,6,4,4
5,6,4,4
6,6,4,4
7,6,4,4
8,6,7,7
9,6,7,7
10,6,7,7
11,6,5,5
12,6,5,5
13,6,3,3
14,6,4,4
15,6,4,4
16,6,4,4
17,6,4,7
18,6,7,7
19,6,5,5
20,6,5,5
21,6,3,3
22,6,3,3
23,6,4,4
24,6,4,4
25,6,4,4
26,6,7,7
27,6,5,7
28,6,5,5
29,6,5,5
30,6,5,5
31,6,3,3
32,6,3,3
33,6,3,3
34,6,4,4
35,6,4,4
36,6,4,4
37,6,7,4
38,6,2,0
39,6,2,2
40,6,2,2
41,6,2,2
42,6,2,2
43,6,8,8
44,6,8,8
45,6,3,3
46,6,4,4
47,6,4,4
48,6,4,4
49,6,4,4
50,6,7,7
51,6,7,7
52,6,7,7
53,6,5,5
54,6,3,3
55,6,4,4
56,6,4,4
57,6,4,4
58,6,4,4
59,6,4,4
60,6,7,7
61,6,5,5
62,6,5,5
63,6,3,3
64,6,4,4
65,6,4,4
66,6,4,4
67,6,7,7
68,6,2,5
69,6,5,5
70,6,3,3
71,6,4,4
72,6,4,4
73,6,4,4
74,6,4,4
75,6,7,7
76,6,2,2
77,6,2,2
78,6,2,2
79,6,2,2
80,6,6,6
81,6,6,6
82,6,8,8
83,6,3,3
84,6,4,4
85,6,4,4
86,6,4,4
87,6,7,7
88,6,5,5
89,6,5,5
90,6,3,4
91,6,4,4
92,6,4,4
93,6,4,4
94,6,7,7
95,6,7,5
96,6,5,5
97,6,5,5
98,6,3,3
99,6,3,4
100,6,4,4
101,6,4,4
102,6,7,7
103,6,7,7
104,6,5,5
105,6,3,3
106,6,3,3
107,6,4,4
108,6,4,4
109,6,7,7
110,6,2,2
111,6,2,2
112,6,2,2
113,6,2,2
114,6,2,2
115,6,6,6
116,6,8,8
117,6,8,3
118,6,3,3
119,6,4,4
120,6,4,4
121,6,4,4
122,6,7,7
123,6,5,5
124,6,3,3
125,6,3,3
126,6,4,4
127,6,4,4
128,6,4,4
129,6,7,7
130,6,5,5
131,6,5,5
132,6,2,5
133,6,5,5
134,6,3,3
135,6,4,4
136,6,4,4
137,6,4,4
138,6,4,4
139,6,4,4
140,6,7,7
141,6,7,5
142,6,5,5
143,6,3,3
144,6,3,3
145,6,4,4
146,6,4,4
147,6,4,7
148,6,7,7
149,6,2,2
150,6,2,2
151,6,2,2
152,6,0,0
153,6,6,6
154,6,8,8
155,6,3,3
156,6,4,4
157,6,4,4
158,6,4,4
159,6,7,7
160,6,5,5
161,6,3,5
162,6,4,4
163,6,4,4
164,6,4,4
165,6,7,7
166,6,5,5
167,6,3,3
168,6,3,3
169,6,4,4
170,6,4,4
171,6,7,7
172,6,5,5
173,6,5,5
174,6,3,3
175,6,3,4
176,6,4,4
177,6,4,4
178,6,7,7
179,6,2,2
180,6,2,2
181,6,2,2
182,6,2,2
