,subject,prediction,groundtruth
0,9,0,6
1,9,6,6
2,9,3,6
3,9,8,8
4,9,5,8
5,9,3,8
6,9,3,3
7,9,3,3
8,9,3,4
9,9,4,4
10,9,4,4
11,9,3,4
12,9,4,4
13,9,4,4
14,9,7,7
15,9,7,7
16,9,5,5
17,9,5,5
18,9,5,5
19,9,3,3
20,9,3,3
21,9,3,4
22,9,3,4
23,9,4,4
24,9,4,4
25,9,4,7
26,9,7,7
27,9,7,7
28,9,5,5
29,9,5,5
30,9,5,5
31,9,5,5
32,9,3,3
33,9,3,4
34,9,4,4
35,9,4,4
36,9,4,4
37,9,4,4
38,9,4,4
39,9,7,7
40,9,7,7
41,9,5,5
42,9,5,5
43,9,5,5
44,9,5,5
45,9,3,1
46,9,3,1
47,9,3,1
48,9,3,1
49,9,1,1
50,9,3,1
51,9,1,1
52,9,3,1
53,9,3,3
54,9,3,3
55,9,4,4
56,9,4,4
57,9,4,4
58,9,4,4
59,9,7,4
60,9,7,7
61,9,7,7
62,9,7,7
63,9,5,2
64,9,5,2
65,9,2,2
66,9,2,2
67,9,0,0
68,9,6,6
69,9,6,6
70,9,8,8
71,9,8,8
72,9,8,8
73,9,8,8
74,9,8,8
75,9,3,3
76,9,3,3
77,9,3,4
78,9,3,4
79,9,3,4
80,9,4,4
81,9,3,4
82,9,4,4
83,9,4,4
84,9,4,4
85,9,7,7
86,9,7,7
87,9,7,7
88,9,7,7
89,9,5,5
90,9,5,5
91,9,5,5
92,9,3,3
93,9,3,3
94,9,3,3
95,9,3,3
96,9,3,3
97,9,3,3
98,9,3,4
99,9,4,4
100,9,4,4
101,9,4,4
102,9,4,4
103,9,4,7
104,9,7,7
105,9,7,7
106,9,7,7
107,9,7,7
108,9,5,5
109,9,5,5
110,9,5,3
111,9,3,3
112,9,3,3
113,9,3,3
114,9,4,4
115,9,4,4
116,9,4,4
117,9,4,4
118,9,4,4
119,9,7,7
120,9,7,7
121,9,5,5
122,9,5,5
123,9,5,5
124,9,3,3
125,9,3,3
126,9,3,3
127,9,3,4
128,9,4,4
129,9,4,4
130,9,4,4
131,9,4,4
132,9,4,4
133,9,7,7
134,9,7,7
135,9,2,2
136,9,0,0
137,9,8,0
138,9,8,6
139,9,8,6
140,9,3,8
141,9,8,8
142,9,5,8
143,9,5,8
144,9,3,3
145,9,3,3
146,9,3,3
147,9,3,3
148,9,3,3
149,9,3,3
150,9,3,3
151,9,4,3
152,9,4,3
153,9,4,3
154,9,5,7
155,9,5,7
156,9,5,5
157,9,5,5
158,9,7,5
159,9,3,3
160,9,3,3
161,9,3,3
162,9,3,3
163,9,3,3
164,9,3,3
165,9,4,3
166,9,4,4
167,9,4,4
168,9,4,4
169,9,7,7
170,9,5,7
171,9,5,7
172,9,5,5
173,9,5,5
174,9,3,5
175,9,3,3
176,9,3,3
177,9,3,3
178,9,3,3
179,9,4,4
180,9,3,4
181,9,4,4
182,9,4,4
183,9,4,4
184,9,4,4
185,9,4,4
186,9,7,7
187,9,5,7
188,9,5,7
189,9,5,7
190,9,5,5
191,9,3,5
192,9,3,3
193,9,4,4
194,9,4,4
195,9,4,4
196,9,7,4
197,9,2,7
198,9,2,7
199,9,0,0
200,9,6,6
201,9,6,6
202,9,8,8
203,9,8,8
204,9,8,8
205,9,3,3
206,9,3,3
207,9,4,4
208,9,4,4
209,9,4,4
210,9,4,4
211,9,4,7
212,9,7,7
213,9,7,7
214,9,7,7
215,9,5,5
216,9,5,7
217,9,5,5
218,9,5,5
219,9,3,3
220,9,3,3
221,9,3,3
222,9,3,3
223,9,3,4
224,9,4,4
225,9,4,4
226,9,4,4
227,9,4,4
228,9,7,7
229,9,7,7
230,9,5,7
231,9,5,5
232,9,5,5
233,9,5,5
234,9,3,3
235,9,3,3
236,9,3,3
237,9,3,3
238,9,4,4
239,9,4,4
240,9,4,4
241,9,4,4
242,9,4,4
243,9,7,4
244,9,7,7
245,9,7,7
246,9,5,7
247,9,5,5
248,9,5,5
249,9,3,3
250,9,3,3
251,9,4,4
252,9,4,4
253,9,4,4
254,9,7,7
255,9,7,2
256,9,2,2
257,9,0,0
258,9,6,6
259,9,8,6
260,9,8,8
261,9,8,8
262,9,8,8
263,9,5,8
264,9,3,3
265,9,3,3
266,9,4,4
267,9,4,4
268,9,4,4
269,9,4,4
270,9,4,4
271,9,4,4
272,9,4,4
273,9,4,4
274,9,4,4
275,9,7,7
276,9,5,7
277,9,5,5
278,9,5,5
279,9,3,3
280,9,3,3
281,9,3,3
282,9,3,4
283,9,4,4
284,9,4,4
285,9,4,4
286,9,4,4
287,9,7,7
288,9,7,7
289,9,5,7
290,9,5,5
291,9,5,5
292,9,3,3
293,9,3,3
294,9,3,3
295,9,4,4
296,9,4,4
297,9,4,4
298,9,4,4
299,9,4,4
300,9,7,7
301,9,5,7
302,9,5,7
303,9,5,5
304,9,3,3
305,9,3,3
306,9,3,3
307,9,4,4
308,9,4,4
309,9,4,4
310,9,4,4
311,9,7,4
312,9,7,7
