,subject,prediction,groundtruth
0,8,6,0
1,8,6,6
2,8,8,6
3,8,8,6
4,8,8,8
5,8,8,8
6,8,8,8
7,8,3,3
8,8,4,3
9,8,4,3
10,8,4,4
11,8,4,4
12,8,4,4
13,8,4,4
14,8,4,4
15,8,4,4
16,8,4,4
17,8,4,4
18,8,4,4
19,8,4,4
20,8,4,4
21,8,4,7
22,8,7,7
23,8,5,7
24,8,5,5
25,8,5,5
26,8,5,5
27,8,3,3
28,8,3,3
29,8,4,3
30,8,4,4
31,8,4,4
32,8,4,4
33,8,4,4
34,8,7,7
35,8,7,7
36,8,7,7
37,8,7,7
38,8,7,5
39,8,1,5
40,8,7,1
41,8,1,7
42,8,1,1
43,8,7,1
44,8,5,1
45,8,5,5
46,8,7,5
47,8,7,7
48,8,5,5
49,8,5,5
50,8,5,5
51,8,3,5
52,8,3,3
53,8,4,3
54,8,4,3
55,8,4,4
56,8,4,4
57,8,4,4
58,8,4,4
59,8,4,4
60,8,4,4
61,8,7,7
62,8,5,7
63,8,7,7
64,8,7,5
65,8,5,5
66,8,5,5
67,8,3,3
68,8,4,3
69,8,4,3
70,8,4,4
71,8,4,4
72,8,4,4
73,8,4,4
74,8,4,4
75,8,4,4
76,8,7,7
77,8,7,7
78,8,7,7
79,8,2,7
80,8,2,2
81,8,6,0
82,8,6,6
83,8,6,6
84,8,6,6
85,8,8,8
86,8,8,8
87,8,8,8
88,8,3,3
89,8,4,3
90,8,4,4
91,8,4,4
92,8,4,4
93,8,4,4
94,8,4,4
95,8,7,7
96,8,7,7
97,8,7,7
98,8,7,9
99,8,5,5
100,8,5,5
101,8,5,5
102,8,3,3
103,8,3,3
104,8,4,4
105,8,4,4
106,8,4,4
107,8,4,4
108,8,7,7
109,8,7,7
110,8,5,5
111,8,5,5
112,8,3,3
113,8,3,3
114,8,4,4
115,8,4,4
116,8,4,4
117,8,4,4
118,8,4,4
119,8,7,7
120,8,7,7
121,8,5,5
122,8,7,5
123,8,3,3
124,8,3,3
125,8,4,4
126,8,4,4
127,8,4,4
128,8,7,7
129,8,7,7
130,8,7,2
131,8,2,2
132,8,2,2
133,8,0,0
134,8,6,6
135,8,6,6
136,8,8,8
137,8,8,8
138,8,8,8
139,8,3,3
140,8,4,4
141,8,4,4
142,8,4,4
143,8,7,7
144,8,7,7
145,8,7,7
146,8,7,5
147,8,7,5
148,8,9,0
149,8,7,5
150,8,5,5
151,8,3,3
152,8,3,3
153,8,4,4
154,8,4,4
155,8,4,4
156,8,4,4
157,8,7,7
158,8,7,7
159,8,4,7
160,8,4,7
161,8,7,7
162,8,7,7
163,8,7,7
164,8,7,9
165,8,5,5
166,8,5,5
167,8,5,5
168,8,3,3
169,8,3,3
170,8,4,4
171,8,4,4
172,8,4,4
173,8,4,4
174,8,7,7
175,8,7,7
176,8,7,7
177,8,7,7
178,8,5,5
179,8,5,5
180,8,5,3
181,8,3,3
182,8,4,4
183,8,4,4
184,8,4,4
185,8,4,4
186,8,4,4
187,8,4,4
188,8,4,4
189,8,7,7
190,8,7,7
191,8,7,7
192,8,2,2
193,8,2,2
194,8,2,2
195,8,2,2
196,8,6,6
197,8,6,6
198,8,8,8
199,8,8,8
200,8,8,8
201,8,3,3
202,8,4,4
203,8,4,4
204,8,4,4
205,8,7,7
206,8,7,7
207,8,7,7
208,8,5,5
209,8,5,5
210,8,5,5
211,8,3,3
212,8,3,3
213,8,4,4
214,8,4,4
215,8,4,4
216,8,4,4
217,8,4,4
218,8,7,7
219,8,7,7
220,8,7,7
221,8,7,7
222,8,5,5
223,8,5,5
224,8,3,3
225,8,3,3
226,8,4,4
227,8,4,4
228,8,4,4
229,8,4,4
230,8,4,4
231,8,7,7
232,8,7,7
233,8,7,7
234,8,5,5
235,8,7,5
236,8,5,5
237,8,3,3
238,8,3,4
239,8,4,4
240,8,4,4
241,8,4,4
242,8,4,4
243,8,7,7
244,8,7,7
245,8,2,2
