,subject,prediction,groundtruth
0,3,0,0
1,3,6,6
2,3,8,6
3,3,8,8
4,3,3,3
5,3,3,3
6,3,4,4
7,3,4,4
8,3,4,4
9,3,4,4
10,3,4,4
11,3,4,4
12,3,7,7
13,3,5,5
14,3,7,5
15,3,8,5
16,3,8,8
17,3,8,8
18,3,3,3
19,3,3,3
20,3,4,3
21,3,4,4
22,3,4,4
23,3,4,4
24,3,7,7
25,3,7,7
26,3,7,7
27,3,5,7
28,3,5,5
29,3,3,5
30,3,3,3
31,3,3,4
32,3,4,4
33,3,4,4
34,3,7,4
35,3,7,7
36,3,7,7
37,3,7,5
38,3,5,5
39,3,3,3
40,3,3,3
41,3,4,4
42,3,4,4
43,3,7,7
44,3,7,7
45,3,2,7
46,3,2,2
47,3,2,2
48,3,2,2
49,3,6,6
50,3,9,8
51,3,8,8
52,3,8,8
53,3,8,8
54,3,3,3
55,3,3,3
56,3,4,4
57,3,4,4
58,3,4,4
59,3,4,4
60,3,4,4
61,3,7,7
62,3,7,7
63,3,5,5
64,3,5,5
65,3,8,8
66,3,8,8
67,3,8,8
68,3,3,3
69,3,3,3
70,3,4,4
71,3,4,4
72,3,7,7
73,3,7,7
74,3,5,7
75,3,3,3
76,3,3,3
77,3,3,3
78,3,4,4
79,3,4,4
80,3,4,4
81,3,4,0
82,3,7,7
83,3,7,5
84,3,7,5
85,3,3,3
86,3,3,3
87,3,4,4
88,3,4,4
89,3,4,4
90,3,4,4
91,3,4,4
92,3,4,4
93,3,7,7
94,3,7,7
95,3,2,7
96,3,2,2
97,3,2,2
98,3,2,2
99,3,2,2
100,3,0,0
101,3,6,6
102,3,8,8
103,3,8,8
104,3,8,8
105,3,3,3
106,3,3,3
107,3,4,4
108,3,4,4
109,3,4,4
110,3,4,4
111,3,7,7
112,3,7,7
113,3,5,5
114,3,5,5
115,3,3,3
116,3,3,3
117,3,4,3
118,3,4,4
119,3,4,4
120,3,7,7
121,3,7,7
122,3,7,7
123,3,5,5
124,3,5,5
125,3,3,3
126,3,4,4
127,3,4,4
128,3,4,4
129,3,4,4
130,3,7,7
131,3,7,7
132,3,5,5
133,3,5,5
134,3,3,3
135,3,4,4
136,3,4,4
137,3,4,4
138,3,4,4
139,3,7,7
140,3,7,7
141,3,7,7
142,3,2,7
143,3,2,7
144,3,2,2
145,3,2,2
146,3,2,2
147,3,6,0
148,3,6,6
149,3,8,6
150,3,8,8
151,3,3,3
152,3,3,4
153,3,4,4
154,3,4,0
155,3,7,7
156,3,7,5
157,3,5,5
158,3,5,3
159,3,3,3
160,3,3,3
161,3,4,4
162,3,4,4
163,3,4,4
164,3,7,7
165,3,7,7
166,3,5,5
167,3,5,5
168,3,3,3
169,3,3,4
170,3,4,4
171,3,4,4
172,3,7,7
173,3,7,7
174,3,5,5
175,3,3,3
176,3,3,3
177,3,4,4
178,3,4,4
179,3,7,7
180,3,7,7
181,3,7,7
182,3,2,0
183,3,2,2
184,3,2,2
185,3,2,2
186,3,6,6
187,3,8,8
188,3,3,8
189,3,3,3
190,3,4,4
191,3,7,7
192,3,7,7
193,3,5,5
194,3,3,3
195,3,3,3
196,3,4,4
197,3,4,4
198,3,4,4
199,3,7,7
200,3,7,7
201,3,5,7
202,3,5,5
203,3,8,8
204,3,8,8
205,3,3,3
206,3,4,4
207,3,4,4
208,3,7,4
209,3,7,7
210,3,5,5
211,3,3,3
212,3,3,3
213,3,4,4
214,3,4,4
215,3,4,4
216,3,4,4
217,3,4,4
218,3,4,4
219,3,7,7
220,3,2,7
221,3,2,2
222,3,2,2
223,3,2,2
