,subject,prediction,groundtruth
0,2,0,0
1,2,0,0
2,2,6,6
3,2,6,6
4,2,8,6
5,2,8,8
6,2,5,8
7,2,7,8
8,2,4,3
9,2,4,4
10,2,4,4
11,2,4,4
12,2,4,4
13,2,8,4
14,2,8,8
15,2,4,8
16,2,4,4
17,2,4,4
18,2,4,4
19,2,4,4
20,2,8,4
21,2,8,8
22,2,3,8
23,2,5,8
24,2,7,8
25,2,4,3
26,2,4,3
27,2,4,4
28,2,4,4
29,2,4,4
30,2,4,4
31,2,7,4
32,2,4,4
33,2,4,4
34,2,7,7
35,2,7,7
36,2,7,7
37,2,5,7
38,2,8,5
39,2,5,5
40,2,5,5
41,2,4,3
42,2,4,4
43,2,4,4
44,2,4,4
45,2,7,7
46,2,7,7
47,2,5,7
48,2,5,5
49,2,8,5
50,2,3,3
51,2,3,3
52,2,3,3
53,2,3,3
54,2,3,3
55,2,4,3
56,2,4,4
57,2,4,4
58,2,4,4
59,2,4,4
60,2,4,4
61,2,8,8
62,2,8,8
63,2,8,8
64,2,8,8
65,2,5,8
66,2,4,3
67,2,4,4
68,2,4,4
69,2,4,4
70,2,4,4
71,2,4,4
72,2,7,7
73,2,7,7
74,2,5,5
75,2,5,5
76,2,3,5
77,2,4,3
78,2,4,4
79,2,4,4
80,2,4,4
81,2,4,4
82,2,7,7
83,2,2,7
84,2,2,2
85,2,2,2
86,2,0,0
87,2,0,6
88,2,6,6
89,2,6,8
90,2,4,8
91,2,0,8
92,2,6,8
93,2,4,8
94,2,3,3
95,2,4,4
96,2,4,4
97,2,4,4
98,2,7,4
99,2,7,7
100,2,7,7
101,2,7,7
102,2,7,7
103,2,5,5
104,2,8,5
105,2,3,3
106,2,3,3
107,2,3,4
108,2,4,4
109,2,8,4
110,2,4,4
111,2,4,4
112,2,4,4
113,2,7,7
114,2,7,7
115,2,5,5
116,2,8,5
117,2,3,3
118,2,4,4
119,2,4,4
120,2,4,4
121,2,4,4
122,2,4,4
123,2,4,4
124,2,7,7
125,2,7,7
126,2,7,7
127,2,7,7
128,2,7,7
129,2,5,5
130,2,3,3
131,2,4,4
132,2,4,4
133,2,4,4
134,2,4,7
135,2,7,7
136,2,7,7
137,2,2,2
138,2,2,2
139,2,0,0
140,2,4,6
141,2,6,6
142,2,4,4
143,2,4,4
144,2,4,4
145,2,4,4
146,2,4,4
147,2,7,7
148,2,7,7
149,2,7,7
150,2,5,5
151,2,8,5
152,2,5,5
153,2,3,3
154,2,4,4
155,2,4,4
156,2,4,4
157,2,4,4
158,2,7,7
159,2,7,7
160,2,7,7
161,2,5,5
162,2,3,5
163,2,3,3
164,2,4,4
165,2,4,4
166,2,4,4
167,2,4,4
168,2,4,4
169,2,7,7
170,2,7,7
171,2,7,7
172,2,7,7
173,2,5,5
174,2,8,5
175,2,5,5
176,2,3,3
177,2,4,4
178,2,4,4
179,2,4,4
180,2,4,4
181,2,7,7
182,2,7,7
183,2,7,7
184,2,2,7
185,2,7,7
186,2,7,7
187,2,5,0
188,2,2,2
189,2,2,2
190,2,0,0
191,2,6,0
192,2,4,4
193,2,4,4
194,2,4,4
195,2,4,4
196,2,4,4
197,2,4,4
198,2,4,4
199,2,7,4
200,2,4,4
201,2,7,7
202,2,7,7
203,2,7,7
204,2,5,5
205,2,8,5
206,2,3,3
207,2,3,3
208,2,4,3
209,2,4,3
210,2,4,3
211,2,4,3
212,2,7,7
213,2,7,7
214,2,7,7
215,2,5,5
216,2,8,5
217,2,3,3
218,2,4,4
219,2,4,4
220,2,4,4
221,2,4,4
222,2,4,4
223,2,4,4
224,2,7,7
225,2,7,7
226,2,5,5
227,2,5,5
228,2,3,8
229,2,3,8
230,2,3,3
231,2,3,3
232,2,4,3
233,2,4,3
234,2,4,3
235,2,4,7
236,2,7,7
237,2,7,7
238,2,5,2
239,2,7,2
240,2,2,2
241,2,6,6
242,2,4,8
243,2,6,8
244,2,2,8
245,2,6,8
246,2,6,8
247,2,3,8
248,2,3,3
249,2,4,4
250,2,4,4
251,2,4,4
252,2,4,4
253,2,4,4
254,2,7,4
255,2,7,4
256,2,7,7
257,2,7,7
258,2,5,5
259,2,3,3
260,2,4,4
261,2,4,4
262,2,4,4
263,2,4,4
264,2,7,7
265,2,7,7
266,2,7,7
267,2,5,5
268,2,8,5
269,2,3,3
270,2,4,4
271,2,4,4
272,2,4,4
273,2,7,7
274,2,7,7
275,2,7,7
276,2,5,5
277,2,3,3
278,2,4,4
279,2,4,4
280,2,4,4
281,2,7,7
282,2,7,7
283,2,2,2
284,2,2,2
